course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	S	100		001		DAY	American Heritage	Patterson, Kelly	3	MWTh	11:00am09:00am	11:50am09:50am	140 JSB 2111 JKB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	2 / 30	0
02859	006	A HTG	S	100		002		DAY	American Heritage	Patterson, Kelly	3	MWTh	11:00am09:00am	11:50am09:50am	140 JSB 257 RB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	4 / 30	0
02859	006	A HTG	S	100		003		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am09:00am	11:50am09:50am	140 JSB 110 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		004		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm1:00pm	1:50pm1:50pm	140 JSB 106 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	1 / 30	0
02859	006	A HTG	S	100		005		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm2:00pm	1:50pm2:50pm	140 JSB 182 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		006		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm09:00am	12:50pm09:50am	140 JSB 179 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		007		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm09:00am	12:50pm09:50am	140 JSB 175 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	5 / 30	0
02859	006	A HTG	S	100		008		DAY	American Heritage	Karpowitz, Chris	3	MWTh	12:00pm1:00pm	12:50pm1:50pm	140 JSB 203 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		009		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm08:00am	12:50pm08:50am	140 JSB 106 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	13 / 30	0
02859	006	A HTG	S	100		010		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am11:00am	11:50am11:50am	140 JSB 106 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		011		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm09:00am	12:50pm09:50am	140 JSB 107 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	1 / 30	0
02859	006	A HTG	S	100		012		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am10:00am	11:50am10:50am	140 JSB 179 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	2 / 30	0
02859	006	A HTG	S	100		013		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am11:00am	11:50am11:50am	140 JSB 171 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		014		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm12:00pm	12:50pm12:50pm	140 JSB 114 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		015		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm1:00pm	1:50pm1:50pm	140 JSB 114 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		016		DAY	American Heritage	Karpowitz, Chris	3	MWTh	12:00pm2:00pm	12:50pm2:50pm	140 JSB 126 MARB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	2 / 30	0
02859	006	A HTG	S	100		017		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm09:00am	1:50pm09:50am	140 JSB 106 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	1 / 30	0
02859	006	A HTG	S	100		018		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am10:00am	11:50am10:50am	140 JSB 106 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		019		DAY	American Heritage	Karpowitz, Chris	3	MWTh	1:00pm12:00pm	1:50pm12:50pm	140 JSB 1103 JKB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	4 / 30	0
02859	006	A HTG	S	100		020		DAY	American Heritage	Karpowitz, Chris	3	MWTh	1:00pm12:00pm	1:50pm12:50pm	140 JSB B040 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 31	0
02859	006	A HTG	S	100		021		DAY	American Heritage	Karpowitz, Chris	3	MWTh	1:00pm2:00pm	1:50pm2:50pm	140 JSB 127 MARB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		022		DAY	American Heritage	Karpowitz, Chris	3	MWTh	1:00pm3:00pm	1:50pm3:50pm	140 JSB B152 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	5 / 30	0
02859	006	A HTG	S	100		023		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm12:00pm	12:50pm12:50pm	140 JSB 107 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		024		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm2:00pm	1:50pm2:50pm	140 JSB 175 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	12 / 30	0
02859	006	A HTG	S	100		025		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm12:00pm	12:50pm12:50pm	140 JSB 110 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		026		DAY	American Heritage	Karpowitz, Chris	3	MWTh	1:00pm12:00pm	1:50pm12:50pm	140 JSB 340 CTB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		027		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm12:00pm	12:50pm12:50pm	140 JSB 174 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		028		DAY	American Heritage	Karpowitz, Chris	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB 170 SNLB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	6 / 30	0
02859	006	A HTG	S	100		029		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am11:00am	11:50am11:50am	140 JSB 174 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.A HTG 100 section 029: For international students only.INTERNATIONAL	9 / 30	0
02859	006	A HTG	S	100		030		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm12:00pm	12:50pm12:50pm	140 JSB 103 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.A HTG 100 section 030: For international students only.INTERNATIONAL	1 / 30	0
02859	006	A HTG	S	100		031		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm1:00pm	1:50pm1:50pm	140 JSB 107 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.A HTG 100 section 031: For international students only.INTERNATIONAL	30 / 30	0
02859	006	A HTG	S	100		032		DAY	American Heritage	Patterson, Kelly	3	MWTh	11:00am08:00am	11:50am08:50am	140 JSB 120 MARB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	2 / 30	0
02859	006	A HTG	S	100		033		DAY	American Heritage	Patterson, Kelly	3	MWTh	11:00am12:00pm	11:50am12:50pm	140 JSB 257 RB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	6 / 30	0
02859	006	A HTG	S	100		034		DAY	American Heritage	Karpowitz, Chris	3	MWTh	12:00pm1:00pm	12:50pm1:50pm	140 JSB 127 MARB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		035		DAY	American Heritage	Karpowitz, Chris	3	MWTh	1:00pm09:00am	1:50pm09:50am	140 JSB B135 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	2 / 30	0
02859	006	A HTG	S	100		036		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm08:00am	12:50pm08:50am	140 JSB 110 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		037		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am10:00am	11:50am10:50am	140 JSB 174 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	4 / 30	0
02859	006	A HTG	S	100		038		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am11:00am	11:50am11:50am	140 JSB 114 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		039		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am11:00am	11:50am11:50am	140 JSB 170 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		040		DAY	American Heritage	Karpowitz, Chris	3	MWTh	1:00pm2:00pm	1:50pm2:50pm	140 JSB 129 MARB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		041		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am10:00am	11:50am10:50am	140 JSB 107 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		042		DAY	American Heritage	Karpowitz, Chris	3	MWTh	1:00pm2:00pm	1:50pm2:50pm	140 JSB 1101 JKB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	3 / 30	0
02859	006	A HTG	S	100		043		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm1:00pm	1:50pm1:50pm	140 JSB 178 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		044		DAY	American Heritage	Patterson, Kelly	3	MWF	11:00am11:00am	11:50am11:50am	140 JSB 103 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	0 / 30	0
02859	006	A HTG	S	100		045		DAY	American Heritage	Karpowitz, Chris	3	MWF	1:00pm1:00pm	1:50pm1:50pm	140 JSB 103 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	2 / 30	0
02859	006	A HTG	S	100		046		DAY	American Heritage	Karpowitz, Chris	3	MWF	12:00pm12:00pm	12:50pm12:50pm	140 JSB 170 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.eduA HTG 100:  Additional seats for specific sections may be available to Freshman Mentoring participants through envelopes.	1 / 30	0
